sample,fastq_1,fastq_2,strandedness
P2A1_Sensitive_PH039_third_passage_source_RNA-Seq_1,SRR13305497_GSM4988749_P2A1_Sensitive_PH039_third_passage_source_tumor_Homo_sapiens_RNA-Seq_1.fastq.gz,,reverse
P2A1_Sensitive_PH039_third_passage_source_RNA-Seq_2,SRR13305497_GSM4988749_P2A1_Sensitive_PH039_third_passage_source_tumor_Homo_sapiens_RNA-Seq_2.fastq.gz,,reverse
P2A2_Sensitive_PH039_third_passage_source_RNA-Seq_1,SRR13305498_GSM4988750_P2A2_Sensitive_PH039_third_passage_source_tumor_Homo_sapiens_RNA-Seq_1.fastq.gz,,reverse
P2A2_Sensitive_PH039_third_passage_source_RNA-Seq_2,SRR13305498_GSM4988750_P2A2_Sensitive_PH039_third_passage_source_tumor_Homo_sapiens_RNA-Seq_2.fastq.gz,,reverse
P2A3_Sensitive_PH039_third_passage_source_RNA-Seq_1,SRR13305499_GSM4988751_P2A3_Sensitive_PH039_third_passage_source_tumor_Homo_sapiens_RNA-Seq_1.fastq.gz,,reverse
P2A3_Sensitive_PH039_third_passage_source_RNA-Seq_2,SRR13305499_GSM4988751_P2A3_Sensitive_PH039_third_passage_source_tumor_Homo_sapiens_RNA-Seq_2.fastq.gz,,reverse
F1A3_Sensitive_PH039_first_passage_niraparib_RNA-Seq_1,SRR13305500_GSM4988752_F1A3_Sensitive_PH039_first_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_1.fastq.gz,,reverse
F1A3_Sensitive_PH039_first_passage_niraparib_RNA-Seq_2,SRR13305500_GSM4988752_F1A3_Sensitive_PH039_first_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_2.fastq.gz,,reverse
F1A4_Sensitive_PH039_first_passage_niraparib_RNA-Seq_1,SRR13305501_GSM4988753_F1A4_Sensitive_PH039_first_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_1.fastq.gz,,reverse
F1A4_Sensitive_PH039_first_passage_niraparib_RNA-Seq_2,SRR13305501_GSM4988753_F1A4_Sensitive_PH039_first_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_2.fastq.gz,,reverse
F1A5_Mixed_phenotype_PH039_first_passage_niraparib_RNA-Seq_1,SRR13305502_GSM4988754_F1A5_Mixed_phenotype_PH039_first_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_1.fastq.gz,,reverse
F1A5_Mixed_phenotype_PH039_first_passage_niraparib_RNA-Seq_2,SRR13305502_GSM4988754_F1A5_Mixed_phenotype_PH039_first_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_2.fastq.gz,,reverse
F251_Mixed_phenotype_PH039_first_passage_niraparib_RNA-Seq_1,SRR13305503_GSM4988755_F251_Mixed_phenotype_PH039_first_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_1.fastq.gz,,reverse
F251_Mixed_phenotype_PH039_first_passage_niraparib_RNA-Seq_2,SRR13305503_GSM4988755_F251_Mixed_phenotype_PH039_first_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_2.fastq.gz,,reverse
F351_Resistant_PH039_second_passage_niraparib_RNA-Seq_1,SRR13305504_GSM4988756_F351_Resistant_PH039_second_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_1.fastq.gz,,reverse
F351_Resistant_PH039_second_passage_niraparib_RNA-Seq_2,SRR13305504_GSM4988756_F351_Resistant_PH039_second_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_2.fastq.gz,,reverse
F352_Resistant_PH039_second_passage_niraparib_RNA-Seq_1,SRR13305505_GSM4988757_F352_Resistant_PH039_second_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_1.fastq.gz,,reverse
F352_Resistant_PH039_second_passage_niraparib_RNA-Seq_2,SRR13305505_GSM4988757_F352_Resistant_PH039_second_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_2.fastq.gz,,reverse
F451_Resistant_PH039_third_passage_niraparib_RNA-Seq_1,SRR13305506_GSM4988758_F451_Resistant_PH039_third_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_1.fastq.gz,,reverse
F451_Resistant_PH039_third_passage_niraparib_RNA-Seq_2,SRR13305506_GSM4988758_F451_Resistant_PH039_third_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_2.fastq.gz,,reverse
F452_Resistant_PH039_third_passage_niraparib_RNA-Seq_1,SRR13305507_GSM4988759_F452_Resistant_PH039_third_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_1.fastq.gz,,reverse
F452_Resistant_PH039_third_passage_niraparib_RNA-Seq_2,SRR13305507_GSM4988759_F452_Resistant_PH039_third_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_2.fastq.gz,,reverse
F453_Resistant_PH039_third_passage_niraparib_RNA-Seq_1,SRR13305508_GSM4988760_F453_Resistant_PH039_third_passage_niraparib_treated_tumor_Homo_sapiens_RNA-Seq_1.fastq.gz,,reverse
